param_fmriSession,param_counterbalanceVer,param_block_num,param_trial_num,param_cond_type_num,param_cond_type_string,param_normative_response,param_ques_type_string,param_image_num,param_image_filename,p1_block_fix,p1_block_fix_dur,p1_block_question_onset,p1_block_isi_blackscreen,p1_question_duration,p2_image_onset,p2_image_duration,p3_keypress_RT,p3_keypress_key,p3_keypress_onset,p4_short_question_onset,param_end_instruct_onset,total_param_experimentDuration,RAW_param_triggerOnset,param_start_biopac,RAW_p1_block_fix,RAW_p1_block_question_onset,RAW_p1_block_isi_blackscreen,RAW_p2_image_onset,RAW_p3_keypress_onset,RAW_p4_short_question_onset,RAW_param_end_instruct_onset,CHANGE
4,3,10,2,3,c3_HowFace,1,open mouth?,74,F_776.jpg,0,0.0137910842895508,0,0,0.3,0,1.71731448173523,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249237.49138,1605249237.50805,1605249238.87524,1605249241.05939,0,1605249242.77671,0,1605249664.0366
4,3,10,3,3,c3_HowFace,2,open mouth?,76,F_544.jpg,0,0.0137910842895508,0,0,0.3,0,1.71731519699097,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249237.49138,1605249237.50805,1605249238.87524,1605249243.09349,0,1605249244.81081,0,1605249664.0366
4,3,10,4,3,c3_HowFace,1,open mouth?,78,F_692.jpg,0,0.0137910842895508,0,0,0.3,0,1.71731472015381,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249237.49138,1605249237.50805,1605249238.87524,1605249245.1276,0,1605249246.84491,0,1605249664.0366
4,3,10,5,3,c3_HowFace,2,open mouth?,77,F_584.jpg,0,0.0137910842895508,0,0,0.3,0,1.71731519699097,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249237.49138,1605249237.50805,1605249238.87524,1605249247.1617,0,1605249248.87901,0,1605249664.0366
4,3,10,6,3,c3_HowFace,1,open mouth?,73,F_403.jpg,0,0.0137910842895508,0,0,0.3,0,1.71731543540955,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249237.49138,1605249237.50805,1605249238.87524,1605249249.1958,0,1605249250.91311,0,1605249664.0366
4,3,10,7,3,c3_HowFace,1,open mouth?,75,F_086.jpg,0,0.0137910842895508,0,0,0.3,0,1.71731400489807,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249237.49138,1605249237.50805,1605249238.87524,1605249251.2299,0,1605249252.94721,0,1605249664.0366
4,3,10,8,3,c3_HowFace,2,open mouth?,79,F_648.jpg,0,0.0137910842895508,0,0,0.3,0,1.71731472015381,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249237.49138,1605249237.50805,1605249238.87524,1605249253.264,0,1605249254.98131,0,1605249664.0366
4,3,11,1,4,c4_HowHand,1,pressing button?,88,H_019.jpg,0,0.00861525535583496,0,0,1.43387413024902,0,1.71731543540955,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249255.31477,1605249255.33145,1605249256.76532,1605249256.91538,0,1605249258.63269,0,1605249664.0366
4,3,11,2,4,c4_HowHand,2,pressing button?,87,H_024.jpg,0,0.00861525535583496,0,0,0.3,0,1.71731519699097,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249255.31477,1605249255.33145,1605249256.76532,1605249258.94948,0,1605249260.6668,0,1605249664.0366
4,3,11,3,4,c4_HowHand,2,pressing button?,85,H_130.jpg,0,0.00861525535583496,0,0,0.3,0,1.71731495857239,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249255.31477,1605249255.33145,1605249256.76532,1605249260.98358,0,1605249262.7009,0,1605249664.0366
4,3,11,4,4,c4_HowHand,1,pressing button?,83,H_502.jpg,0,0.00861525535583496,0,0,0.3,0,1.71731543540955,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249255.31477,1605249255.33145,1605249256.76532,1605249263.01768,0,1605249264.735,0,1605249664.0366
4,3,11,5,4,c4_HowHand,2,pressing button?,81,H_261.jpg,0,0.00861525535583496,0,0,0.3,0,1.71731495857239,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249255.31477,1605249255.33145,1605249256.76532,1605249265.05178,0,1605249266.7691,0,1605249664.0366
4,3,11,6,4,c4_HowHand,1,pressing button?,86,H_332.jpg,0,0.00861525535583496,0,0,0.3,0,1.71731472015381,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249255.31477,1605249255.33145,1605249256.76532,1605249267.08588,0,1605249268.8032,0,1605249664.0366
4,3,11,7,4,c4_HowHand,1,pressing button?,82,H_126.jpg,0,0.00861525535583496,0,0,0.3,0,1.71731495857239,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249255.31477,1605249255.33145,1605249256.76532,1605249269.11999,0,1605249270.8373,0,1605249664.0366
4,3,11,8,4,c4_HowHand,1,pressing button?,84,H_483.jpg,0,0.00861525535583496,0,0,0.3,0,1.71731615066528,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249255.31477,1605249255.33145,1605249256.76532,1605249271.15409,0,1605249272.8714,0,1605249664.0366
4,3,12,1,2,c2_WhyHand,1,competing?,9,H_261.jpg,0,0.0168793201446533,0,0,1.30049109458923,0,1.71731472015381,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249273.22153,1605249273.25488,1605249274.55537,1605249274.70543,0,1605249276.42274,0,1605249664.0366
4,3,12,2,2,c2_WhyHand,2,competing?,12,H_483.jpg,0,0.0168793201446533,0,0,0.3,0,1.71731519699097,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249273.22153,1605249273.25488,1605249274.55537,1605249276.73953,0,1605249278.45684,0,1605249664.0366
4,3,12,3,2,c2_WhyHand,1,competing?,14,H_132.jpg,0,0.0168793201446533,0,0,0.3,0,1.71731543540955,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249273.22153,1605249273.25488,1605249274.55537,1605249278.77363,0,1605249280.49094,0,1605249664.0366
4,3,12,4,2,c2_WhyHand,2,competing?,10,H_126.jpg,0,0.0168793201446533,0,0,0.3,0,1.71731424331665,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249273.22153,1605249273.25488,1605249274.55537,1605249280.80773,0,1605249282.52504,0,1605249664.0366
4,3,12,5,2,c2_WhyHand,1,competing?,16,H_136.jpg,0,0.0168793201446533,0,0,0.3,0,1.71731472015381,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249273.22153,1605249273.25488,1605249274.55537,1605249282.84183,0,1605249284.55915,0,1605249664.0366
4,3,12,6,2,c2_WhyHand,2,competing?,11,H_502.jpg,0,0.0168793201446533,0,0,0.3,0,1.71731638908386,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249273.22153,1605249273.25488,1605249274.55537,1605249284.87593,0,1605249286.59325,0,1605249664.0366
